Ration Card Number,State,District no.,Age,Gender,Family Size,Aadhaar Linked,Foodgrain Type,Monthly Quota (kg),Subsidy Amount (INR),FPS ID,Transaction Date,Transaction Status
6379204649,Andhra Pradesh,District 8,66,Other,6,No,Rice,12,326,FPS6801,01-04-2024,Failure
6374290477,Gujarat,District 19,64,Female,5,No,Rice,16,259,FPS4867,18-04-2024,Failure
1742935638,Tamil Nadu,District 26,60,Female,3,No,Wheat,34,107,FPS5072,14-04-2024,Failure
6605300797,Bihar,District 35,34,Other,4,Yes,Sugar,31,151,FPS4117,24-04-2024,Success
2951995044,West Bengal,District 48,63,Male,5,Yes,Wheat,13,496,FPS4239,21-04-2024,Success
2518849166,Bihar,District 49,19,Male,3,No,Millet,24,441,FPS1393,29-04-2024,Success
7426119210,Rajasthan,District 18,30,Other,3,Yes,Rice,34,152,FPS2761,06-04-2024,Failure
3883647410,West Bengal,District 5,63,Other,9,Yes,Pulses,34,232,FPS8751,22-04-2024,Failure
9130021645,West Bengal,District 9,35,Female,10,No,Wheat,5,460,FPS6219,29-04-2024,Success
6038622822,Tamil Nadu,District 29,69,Other,10,No,Pulses,12,105,FPS6429,12-04-2024,Failure
7146782795,Maharashtra,District 19,34,Other,2,Yes,Rice,12,238,FPS7150,21-04-2024,Failure
1319086786,West Bengal,District 36,74,Other,8,Yes,Pulses,21,325,FPS5118,11-04-2024,Failure
2659987330,West Bengal,District 8,68,Other,7,Yes,Millet,21,467,FPS7428,04-04-2024,Success
1890427516,Uttar Pradesh,District 40,44,Male,8,No,Rice,19,213,FPS6035,06-04-2024,Success
4336075127,Madhya Pradesh,District 31,62,Female,10,No,Wheat,11,222,FPS3906,03-04-2024,Success
6676178058,Bihar,District 24,31,Other,7,No,Rice,18,426,FPS5451,11-04-2024,Success
6164838371,Rajasthan,District 9,66,Other,5,No,Rice,29,468,FPS2354,12-04-2024,Success
1105314490,West Bengal,District 21,72,Other,2,Yes,Millet,6,165,FPS5602,27-04-2024,Success
2150257723,Madhya Pradesh,District 38,45,Other,8,No,Millet,35,360,FPS6303,07-04-2024,Success
5883538600,Maharashtra,District 30,58,Male,6,Yes,Sugar,15,364,FPS2258,19-04-2024,Failure
2560358046,Rajasthan,District 20,62,Other,7,Yes,Sugar,16,284,FPS2762,05-04-2024,Failure
3692581084,Maharashtra,District 38,68,Female,2,Yes,Wheat,14,293,FPS3515,05-04-2024,Success
5292239064,Bihar,District 21,48,Male,9,Yes,Millet,23,225,FPS1807,11-04-2024,Failure
9864175059,Bihar,District 24,65,Other,9,No,Millet,19,228,FPS2719,24-04-2024,Success
6637626619,Uttar Pradesh,District 41,23,Female,5,Yes,Pulses,23,159,FPS8212,19-04-2024,Failure
8898503349,Karnataka,District 50,48,Male,10,Yes,Rice,23,230,FPS8287,11-04-2024,Success
2085707288,Gujarat,District 24,48,Female,3,Yes,Millet,21,63,FPS9088,05-04-2024,Failure
